timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
29-03-2012,6.83,6.83,6.83,6.83,5.665315599,0,0,1
,,,,,,,,
28-03-2012,6.85,6.85,6.85,6.85,5.681905103,0,0,1
,,,,,,,,
27-03-2012,6.88,6.88,6.88,6.88,5.706789359,0,0,1
,,,,,,,,
26-03-2012,6.87,6.87,6.87,6.87,5.698494607,0,0,1
,,,,,,,,
23-03-2012,6.75,6.75,6.75,6.75,5.598957583,0,0,1
,,,,,,,,
22-03-2012,6.75,6.75,6.75,6.75,5.598957583,0,0,1
,,,,,,,,
21-03-2012,6.77,6.77,6.77,6.77,5.615547087,0,0,1
,,,,,,,,
20-03-2012,6.77,6.77,6.77,6.77,5.615547087,0,0,1
,,,,,,,,
19-03-2012,6.76,6.76,6.76,6.76,5.607252335,0,0,1
,,,,,,,,
16-03-2012,6.71,6.71,6.71,6.71,5.565778575,0,0,1
,,,,,,,,
15-03-2012,6.71,6.71,6.71,6.71,5.565778575,0,0,1
,,,,,,,,
14-03-2012,6.7,6.7,6.7,6.7,5.557483823,0,0,1
,,,,,,,,
13-03-2012,6.67,6.67,6.67,6.67,5.532599568,0,0,1
,,,,,,,,
12-03-2012,6.55,6.55,6.55,6.55,5.433062544,0,0,1
,,,,,,,,
09-03-2012,6.55,6.55,6.55,6.55,5.433062544,0,0,1
,,,,,,,,
08-03-2012,6.52,6.52,6.52,6.52,5.408178288,0,0,1
,,,,,,,,
07-03-2012,6.45,6.45,6.45,6.45,5.350115024,0,0,1
,,,,,,,,
06-03-2012,6.4,6.4,6.4,6.4,5.308641264,0,0,1
,,,,,,,,
05-03-2012,6.47,6.47,6.47,6.47,5.366704528,0,0,1
,,,,,,,,
02-03-2012,6.53,6.53,6.53,6.53,5.41647304,0,0,1
,,,,,,,,
01-03-2012,6.54,6.54,6.54,6.54,5.424767792,0,0,1
,,,,,,,,
29-02-2012,6.49,6.49,6.49,6.49,5.383294032,0,0,1
,,,,,,,,
28-02-2012,6.52,6.52,6.52,6.52,5.408178288,0,0,1
,,,,,,,,
27-02-2012,6.45,6.45,6.45,6.45,5.350115024,0,0,1
,,,,,,,,
24-02-2012,6.45,6.45,6.45,6.45,5.350115024,0,0,1
,,,,,,,,
23-02-2012,6.43,6.43,6.43,6.43,5.33352552,0,0,1
,,,,,,,,
22-02-2012,6.39,6.39,6.39,6.39,5.300346512,0,0,1
,,,,,,,,
21-02-2012,6.41,6.41,6.41,6.41,5.316936016,0,0,1
,,,,,,,,
17-02-2012,6.4,6.4,6.4,6.4,5.308641264,0,0,1
,,,,,,,,
16-02-2012,6.42,6.42,6.42,6.42,5.325230768,0,0,1
,,,,,,,,
15-02-2012,6.33,6.33,6.33,6.33,5.250578,0,0,1
,,,,,,,,
14-02-2012,6.38,6.38,6.38,6.38,5.29205176,0,0,1
,,,,,,,,
13-02-2012,6.36,6.36,6.36,6.36,5.275462256,0,0,1
,,,,,,,,
10-02-2012,6.31,6.31,6.31,6.31,5.233988496,0,0,1
,,,,,,,,
09-02-2012,6.34,6.34,6.34,6.34,5.258872752,0,0,1
,,,,,,,,
08-02-2012,6.3,6.3,6.3,6.3,5.225693744,0,0,1
,,,,,,,,
07-02-2012,6.27,6.27,6.27,6.27,5.200809489,0,0,1
,,,,,,,,
06-02-2012,6.26,6.26,6.26,6.26,5.192514737,0,0,1
,,,,,,,,
03-02-2012,6.26,6.26,6.26,6.26,5.192514737,0,0,1
,,,,,,,,
02-02-2012,6.18,6.18,6.18,6.18,5.126156721,0,0,1
,,,,,,,,
01-02-2012,6.16,6.16,6.16,6.16,5.109567217,0,0,1
,,,,,,,,
31-01-2012,6.11,6.11,6.11,6.11,5.068093457,0,0,1
,,,,,,,,
30-01-2012,6.11,6.11,6.11,6.11,5.068093457,0,0,1
,,,,,,,,
27-01-2012,6.1,6.1,6.1,6.1,5.059798705,0,0,1
,,,,,,,,
26-01-2012,6.08,6.08,6.08,6.08,5.043209201,0,0,1
,,,,,,,,
25-01-2012,6.11,6.11,6.11,6.11,5.068093457,0,0,1
,,,,,,,,
24-01-2012,6.03,6.03,6.03,6.03,5.001735441,0,0,1
,,,,,,,,
23-01-2012,6.03,6.03,6.03,6.03,5.001735441,0,0,1
,,,,,,,,
20-01-2012,6.03,6.03,6.03,6.03,5.001735441,0,0,1
,,,,,,,,
19-01-2012,6.03,6.03,6.03,6.03,5.001735441,0,0,1
,,,,,,,,
18-01-2012,6,6,6,6,4.976851185,0,0,1
,,,,,,,,
17-01-2012,5.92,5.92,5.92,5.92,4.910493169,0,0,1
,,,,,,,,
13-01-2012,5.87,5.87,5.87,5.87,4.86901941,0,0,1
,,,,,,,,
12-01-2012,5.89,5.89,5.89,5.89,4.885608913,0,0,1
,,,,,,,,
11-01-2012,5.87,5.87,5.87,5.87,4.86901941,0,0,1
,,,,,,,,
10-01-2012,5.86,5.86,5.86,5.86,4.860724658,0,0,1
,,,,,,,,
09-01-2012,5.82,5.82,5.82,5.82,4.82754565,0,0,1
,,,,,,,,
06-01-2012,5.83,5.83,5.83,5.83,4.835840402,0,0,1
,,,,,,,,
05-01-2012,5.81,5.81,5.81,5.81,4.819250898,0,0,1
,,,,,,,,
04-01-2012,5.76,5.76,5.76,5.76,4.777777138,0,0,1
,,,,,,,,
03-01-2012,5.74,5.74,5.74,5.74,4.761187634,0,0,1
,,,,,,,,
30-12-2011,5.63,5.63,5.63,5.63,4.669945362,0,0.0032,1
,,,,,,,,
29-12-2011,5.65,5.65,5.65,5.65,4.683872629,0,0,1
,,,,,,,,
28-12-2011,5.61,5.61,5.61,5.61,4.650712469,0,0,1
,,,,,,,,
27-12-2011,5.67,5.67,5.67,5.67,4.700452709,0,0,1
,,,,,,,,
23-12-2011,5.66,5.66,5.66,5.66,4.692162669,0,0,1
,,,,,,,,
22-12-2011,5.61,5.61,5.61,5.61,4.650712469,0,0,1
,,,,,,,,
21-12-2011,5.56,5.56,5.56,5.56,4.609262269,0,0,1
,,,,,,,,
20-12-2011,5.64,5.64,5.64,5.64,4.675582589,0,0,1
,,,,,,,,
19-12-2011,5.47,5.47,5.47,5.47,4.534651908,0,0,1
,,,,,,,,
16-12-2011,5.53,5.53,5.53,5.53,4.584392149,0,0,1
,,,,,,,,
15-12-2011,5.5,5.5,5.5,5.5,4.559522029,0,0,1
,,,,,,,,
14-12-2011,5.52,5.52,5.52,5.52,4.576102109,0,0,1
,,,,,,,,
13-12-2011,5.6,5.6,5.6,5.6,4.642422429,0,0,1
,,,,,,,,
12-12-2011,5.66,5.66,5.66,5.66,4.692162669,0,0,1
,,,,,,,,
09-12-2011,5.73,5.73,5.73,5.73,4.75019295,0,0,1
,,,,,,,,
08-12-2011,5.64,5.64,5.64,5.64,4.675582589,0,0,1
,,,,,,,,
07-12-2011,5.73,5.73,5.73,5.73,4.75019295,0,0,1
,,,,,,,,
06-12-2011,5.74,5.74,5.74,5.74,4.75848299,0,0,1
,,,,,,,,
05-12-2011,5.75,5.75,5.75,5.75,4.76677303,0,0,1
,,,,,,,,
02-12-2011,5.69,5.69,5.69,5.69,4.71703279,0,0,1
,,,,,,,,
01-12-2011,5.71,5.71,5.71,5.71,4.73361287,0,0,1
,,,,,,,,
30-11-2011,5.67,5.67,5.67,5.67,4.700452709,0,0,1
,,,,,,,,
29-11-2011,5.47,5.47,5.47,5.47,4.534651908,0,0,1
,,,,,,,,
28-11-2011,5.5,5.5,5.5,5.5,4.559522029,0,0,1
,,,,,,,,
25-11-2011,5.32,5.32,5.32,5.32,4.410301308,0,0,1
,,,,,,,,
23-11-2011,5.35,5.35,5.35,5.35,4.435171428,0,0,1
,,,,,,,,
22-11-2011,5.48,5.48,5.48,5.48,4.542941949,0,0,1
,,,,,,,,
21-11-2011,5.46,5.46,5.46,5.46,4.526361868,0,0,1
,,,,,,,,
18-11-2011,5.57,5.57,5.57,5.57,4.617552309,0,0,1
,,,,,,,,
17-11-2011,5.61,5.61,5.61,5.61,4.650712469,0,0,1
,,,,,,,,
16-11-2011,5.74,5.74,5.74,5.74,4.75848299,0,0,1
,,,,,,,,
15-11-2011,5.85,5.85,5.85,5.85,4.84967343,0,0,1
,,,,,,,,
14-11-2011,5.79,5.79,5.79,5.79,4.79993319,0,0,1
,,,,,,,,
11-11-2011,5.82,5.82,5.82,5.82,4.82480331,0,0,1
,,,,,,,,
10-11-2011,5.71,5.71,5.71,5.71,4.73361287,0,0,1
,,,,,,,,
09-11-2011,5.71,5.71,5.71,5.71,4.73361287,0,0,1
,,,,,,,,
08-11-2011,5.92,5.92,5.92,5.92,4.907703711,0,0,1
,,,,,,,,
07-11-2011,5.85,5.85,5.85,5.85,4.84967343,0,0,1
,,,,,,,,
04-11-2011,5.81,5.81,5.81,5.81,4.81651327,0,0,1
,,,,,,,,
03-11-2011,5.84,5.84,5.84,5.84,4.84138339,0,0,1
,,,,,,,,
02-11-2011,5.72,5.72,5.72,5.72,4.74190291,0,0,1
,,,,,,,,
01-11-2011,5.67,5.67,5.67,5.67,4.700452709,0,0,1
,,,,,,,,
31-10-2011,5.82,5.82,5.82,5.82,4.82480331,0,0,1
,,,,,,,,
28-10-2011,5.92,5.92,5.92,5.92,4.907703711,0,0,1
,,,,,,,,
27-10-2011,5.92,5.92,5.92,5.92,4.907703711,0,0,1
,,,,,,,,
26-10-2011,5.76,5.76,5.76,5.76,4.77506307,0,0,1
,,,,,,,,
25-10-2011,5.76,5.76,5.76,5.76,4.77506307,0,0,1
,,,,,,,,
24-10-2011,5.88,5.88,5.88,5.88,4.874543551,0,0,1
,,,,,,,,
21-10-2011,5.76,5.76,5.76,5.76,4.77506307,0,0,1
,,,,,,,,
20-10-2011,5.69,5.69,5.69,5.69,4.71703279,0,0,1
,,,,,,,,
19-10-2011,5.72,5.72,5.72,5.72,4.74190291,0,0,1
,,,,,,,,
18-10-2011,5.83,5.83,5.83,5.83,4.83309335,0,0,1
,,,,,,,,
17-10-2011,5.75,5.75,5.75,5.75,4.76677303,0,0,1
,,,,,,,,
14-10-2011,5.84,5.84,5.84,5.84,4.84138339,0,0,1
,,,,,,,,
13-10-2011,5.74,5.74,5.74,5.74,4.75848299,0,0,1
,,,,,,,,
12-10-2011,5.69,5.69,5.69,5.69,4.71703279,0,0,1
,,,,,,,,
11-10-2011,5.66,5.66,5.66,5.66,4.692162669,0,0,1
,,,,,,,,
